# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
CLUG_00091	CLUG_00091	CLUT_00091T0	protein_coding	3	4	1	77	0	0	0	0	26	3	0	0	1	1	0	0	1	0	4	51
CLUG_00092	CLUG_00092	CLUT_00092T0	protein_coding	1	0	0	80	0	0	0	0	51	1	0	0	0	0	0	0	0	0	0	29
CLUG_00093	CLUG_00093	CLUT_00093T0	protein_coding	0	4	1	81	0	0	0	0	41	0	0	0	1	0	0	0	0	0	4	40
CLUG_00094	CLUG_00094	CLUT_00094T0	protein_coding	0	3	1	69	0	0	0	0	10	0	0	0	1	0	0	0	0	0	3	59
CLUG_00095	CLUG_00095	CLUT_00095T0	protein_coding	0	2	2	64	0	0	0	0	13	0	0	0	2	0	0	0	0	0	2	51
CLUG_00096	CLUG_00096	CLUT_00096T0	protein_coding	0	3	3	48	0	0	0	0	41	0	0	0	3	0	0	0	0	0	3	7
CLUG_00097	CLUG_00097	CLUT_00097T0	protein_coding	0	3	2	52	0	0	0	1	41	0	0	0	1	0	0	0	0	0	3	11
CLUG_00098	CLUG_00098	CLUT_00098T0	protein_coding	0	0	0	31	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	18
CLUG_00099	CLUG_00099	CLUT_00099T0	protein_coding	0	3	0	29	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	13
CLUG_00100	CLUG_00100	CLUT_00100T0	protein_coding	2	1	1	29	0	0	0	0	13	2	0	0	1	0	0	0	0	0	1	16
CLUG_00101	CLUG_00101	CLUT_00101T0	protein_coding	0	1	0	37	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	19
CLUG_00102	CLUG_00102	CLUT_00102T0	protein_coding	1	0	0	47	0	0	0	0	32	1	0	0	0	0	0	0	0	0	0	15
CLUG_00103	CLUG_00103	CLUT_00103T0	protein_coding	0	5	1	44	0	0	0	0	32	0	0	0	1	0	0	0	0	0	5	12
CLUG_00104	CLUG_00104	CLUT_00104T0	protein_coding	0	0	0	52	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	35
CLUG_00105	CLUG_00105	CLUT_00105T0	protein_coding	0	1	2	49	0	0	0	0	18	0	0	0	2	0	0	0	0	0	1	31
CLUG_00106	CLUG_00106	CLUT_00106T0	protein_coding	1	4	6	87	0	0	0	0	55	1	0	0	6	0	0	0	0	0	4	32
CLUG_00107	CLUG_00107	CLUT_00107T0	protein_coding	0	3	0	77	0	0	0	0	16	0	0	0	0	0	0	0	0	0	3	61
CLUG_00108	CLUG_00108	CLUT_00108T0	protein_coding	0	1	0	89	0	0	0	0	18	0	0	0	0	0	0	0	0	0	1	71
CLUG_00109	CLUG_00109	CLUT_00109T0	protein_coding	0	21	2	129	0	0	0	0	23	0	0	0	2	0	0	0	0	0	21	106
CLUG_00110	CLUG_00110	CLUT_00110T0	protein_coding	0	4	0	170	0	0	0	0	117	0	0	0	0	0	0	0	0	0	4	53
CLUG_00111	CLUG_00111	CLUT_00111T0	protein_coding	0	18	2	164	0	0	0	0	57	0	0	0	2	0	0	0	0	0	18	107
CLUG_00112	CLUG_00112	CLUT_00112T0	protein_coding	0	7	0	142	0	0	0	0	115	0	0	0	0	0	0	0	0	0	7	27
CLUG_00113	CLUG_00113	CLUT_00113T0	protein_coding	0	4	1	135	0	0	0	0	113	0	0	0	1	0	0	0	0	0	4	22
CLUG_00114	CLUG_00114	CLUT_00114T0	protein_coding	0	1	0	100	0	0	0	0	11	0	0	0	0	0	0	0	0	0	1	89
CLUG_00115	CLUG_00115	CLUT_00115T0	protein_coding	0	0	1	100	0	0	0	0	89	0	0	0	1	0	0	0	0	0	0	11
CLUG_00116	CLUG_00116	CLUT_00116T0	protein_coding	1	3	4	100	0	0	0	0	25	0	0	0	4	0	0	1	0	0	3	75
CLUG_00117	CLUG_00117	CLUT_00117T0	protein_coding	0	8	1	56	0	0	0	0	10	0	0	0	1	0	0	0	0	0	8	46
CLUG_00118	CLUG_00118	CLUT_00118T0	protein_coding	0	12	0	57	0	0	0	0	17	0	0	0	0	0	0	0	0	0	12	40
CLUG_00119	CLUG_00119	CLUT_00119T0	protein_coding	0	9	2	57	0	0	0	0	29	0	0	0	2	0	0	0	0	0	9	28
CLUG_00120	CLUG_00120	CLUT_00120T0	protein_coding	0	10	2	54	0	0	0	0	11	0	0	0	2	0	0	0	0	0	10	43
CLUG_00121	CLUG_00121	CLUT_00121T0	protein_coding	0	4	1	106	0	0	0	0	46	0	0	0	1	0	0	0	0	0	4	60
CLUG_00122	CLUG_00122	CLUT_00122T0	protein_coding	0	2	1	106	0	0	0	0	33	0	0	0	1	0	0	0	0	0	2	73
CLUG_00123	CLUG_00123	CLUT_00123T0	protein_coding	0	0	0	94	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	79
CLUG_00124	CLUG_00124	CLUT_00124T0	protein_coding	0	4	8	113	0	0	1	0	42	0	0	0	7	0	0	0	0	0	4	71
CLUG_00125	CLUG_00125	CLUT_00125T0	protein_coding	0	3	0	100	0	0	0	0	62	0	0	0	0	0	0	0	0	0	3	38
CLUG_00126	CLUG_00126	CLUT_00126T0	protein_coding	0	8	3	71	0	0	0	0	24	0	0	0	3	0	0	0	0	0	8	47
CLUG_00127	CLUG_00127	CLUT_00127T0	protein_coding	0	4	0	54	0	0	0	0	38	0	0	0	0	0	0	0	0	0	4	16
CLUG_00128	CLUG_00128	CLUT_00128T0	protein_coding	0	1	3	53	0	0	0	0	14	0	0	0	3	0	0	0	0	0	1	39
CLUG_00129	CLUG_00129	CLUT_00129T0	protein_coding	0	2	0	51	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2	44
CLUG_00130	CLUG_00130	CLUT_00130T0	protein_coding	0	0	0	52	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	9
CLUG_00131	CLUG_00131	CLUT_00131T0	protein_coding	4	0	2	52	0	0	0	0	20	4	0	0	2	0	0	0	0	0	0	32
CLUG_00132	CLUG_00132	CLUT_00132T0	protein_coding	1	0	2	37	0	0	0	0	29	1	0	0	2	0	0	0	0	0	0	8
CLUG_00133	CLUG_00133	CLUT_00133T0	protein_coding	0	0	0	48	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	9
CLUG_00134	CLUG_00134	CLUT_00134T0	protein_coding	0	0	2	59	0	0	0	0	12	0	0	0	2	0	0	0	0	0	0	47
CLUG_00135	CLUG_00135	CLUT_00135T0	protein_coding	0	25	13	28	0	0	0	0	19	0	0	0	13	0	0	0	0	0	25	9
CLUG_00136	CLUG_00136	CLUT_00136T0	protein_coding	0	2	2	55	0	0	0	0	47	0	0	0	2	0	0	0	0	0	2	8
CLUG_00137	CLUG_00137	CLUT_00137T0	protein_coding	0	0	0	54	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	12
CLUG_00138	CLUG_00138	CLUT_00138T0	protein_coding	0	0	1	39	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	24
CLUG_00139	CLUG_00139	CLUT_00139T0	protein_coding	0	2	1	22	0	0	0	0	11	0	0	0	1	0	0	0	0	0	2	11
CLUG_00140	CLUG_00140	CLUT_00140T0	protein_coding	0	2	0	24	0	0	0	0	13	0	0	0	0	0	0	0	0	0	2	11
CLUG_00141	CLUG_00141	CLUT_00141T0	protein_coding	0	4	1	25	0	0	0	0	14	0	0	0	1	0	0	0	0	0	4	11
CLUG_00142	CLUG_00142	CLUT_00142T0	protein_coding	0	3	4	23	0	0	0	0	11	0	0	0	4	0	0	0	0	0	3	12
CLUG_00143	CLUG_00143	CLUT_00143T0	protein_coding	0	3	3	20	0	0	0	0	7	0	0	0	3	0	0	0	0	0	3	13
CLUG_00144	CLUG_00144	CLUT_00144T0	protein_coding	0	1	2	21	0	0	0	0	9	0	0	0	2	0	0	0	0	0	1	12
CLUG_00145	CLUG_00145	CLUT_00145T0	protein_coding	0	0	1	22	0	0	0	0	12	0	0	0	1	0	0	0	0	0	0	10
CLUG_00146	CLUG_00146	CLUT_00146T0	protein_coding	0	0	0	22	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12
CLUG_00147	CLUG_00147	CLUT_00147T0	protein_coding	0	1	0	21	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	9
CLUG_00148	CLUG_00148	CLUT_00148T0	protein_coding	0	0	0	21	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	7
CLUG_00149	CLUG_00149	CLUT_00149T0	protein_coding	0	5	4	48	0	0	0	0	40	0	0	0	4	0	0	0	0	0	5	8
CLUG_00150	CLUG_00150	CLUT_00150T0	protein_coding	0	1	0	61	0	0	0	0	14	0	0	0	0	0	0	0	0	0	1	47
CLUG_00151	CLUG_00151	CLUT_00151T0	protein_coding	0	0	0	65	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	27
CLUG_00152	CLUG_00152	CLUT_00152T0	protein_coding	0	0	0	63	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	36
CLUG_00153	CLUG_00153	CLUT_00153T0	protein_coding	0	3	4	52	0	0	0	0	20	0	0	0	4	0	0	0	0	0	3	32
CLUG_00154	CLUG_00154	CLUT_00154T0	protein_coding	1	5	6	55	0	0	0	0	39	1	0	0	6	0	0	0	0	0	5	16
CLUG_00155	CLUG_00155	CLUT_00155T0	protein_coding	0	0	1	61	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	46
CLUG_00156	CLUG_00156	CLUT_00156T0	protein_coding	0	1	0	52	0	0	0	0	27	0	0	0	0	0	0	0	0	0	1	25
CLUG_00157	CLUG_00157	CLUT_00157T0	protein_coding	0	7	0	38	0	0	0	0	19	0	0	0	0	0	0	0	0	0	7	19
CLUG_00158	CLUG_00158	CLUT_00158T0	protein_coding	0	1	2	31	0	0	1	0	14	0	0	0	1	0	0	0	0	0	1	17
CLUG_00159	CLUG_00159	CLUT_00159T0	protein_coding	0	0	0	38	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	15
CLUG_00160	CLUG_00160	CLUT_00160T0	protein_coding	0	15	2	72	0	0	0	0	26	0	0	0	2	0	0	0	0	0	15	46
CLUG_00161	CLUG_00161	CLUT_00161T0	protein_coding	0	1	0	72	0	0	0	0	20	0	0	0	0	0	0	0	0	0	1	52
CLUG_00162	CLUG_00162	CLUT_00162T0	protein_coding	2	8	2	89	0	0	0	0	28	2	0	0	2	0	0	0	0	0	8	61
CLUG_00163	CLUG_00163	CLUT_00163T0	protein_coding	0	13	2	118	0	0	0	1	69	0	0	0	1	0	0	0	0	0	13	49
CLUG_00164	CLUG_00164	CLUT_00164T0	protein_coding	0	16	8	86	0	0	0	1	33	0	0	0	7	0	0	0	0	0	16	53
CLUG_00165	CLUG_00165	CLUT_00165T0	protein_coding	0	26	2	62	0	0	0	0	4	0	0	0	2	0	0	0	0	0	26	58
CLUG_00166	CLUG_00166	CLUT_00166T0	protein_coding	0	1	2	76	0	0	0	2	25	0	0	0	0	0	0	0	0	0	1	51
CLUG_00167	CLUG_00167	CLUT_00167T0	protein_coding	0	0	0	32	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	4
CLUG_00168	CLUG_00168	CLUT_00168T0	protein_coding	0	4	0	41	0	0	0	0	34	0	0	0	0	0	0	0	0	0	4	7
CLUG_00169	CLUG_00169	CLUT_00169T0	protein_coding	0	4	1	39	0	0	0	0	19	0	0	0	1	0	0	0	0	0	4	20
CLUG_00170	CLUG_00170	CLUT_00170T0	protein_coding	0	1	0	56	0	0	0	0	21	0	0	0	0	0	0	0	0	0	1	35
CLUG_00171	CLUG_00171	CLUT_00171T0	protein_coding	0	1	0	49	0	0	0	0	22	0	0	0	0	0	0	0	0	0	1	27
CLUG_00172	CLUG_00172	CLUT_00172T0	protein_coding	0	9	2	63	0	0	0	0	15	0	0	0	2	0	0	0	0	0	9	48
CLUG_00173	CLUG_00173	CLUT_00173T0	protein_coding	0	0	4	69	0	0	0	0	24	0	0	0	4	0	0	0	0	0	0	45
CLUG_00174	CLUG_00174	CLUT_00174T0	protein_coding	4	3	2	75	0	0	0	0	44	4	0	0	2	0	0	0	0	0	3	31
CLUG_00175	CLUG_00175	CLUT_00175T0	protein_coding	1	3	2	99	0	0	0	0	62	1	0	0	2	0	0	0	0	0	3	37
CLUG_00176	CLUG_00176	CLUT_00176T0	protein_coding	0	5	0	88	0	0	0	0	49	0	0	0	0	0	0	0	0	0	5	39
CLUG_00177	CLUG_00177	CLUT_00177T0	protein_coding	0	1	1	86	0	0	0	0	25	0	0	0	1	0	0	0	0	0	1	61
CLUG_00178	CLUG_00178	CLUT_00178T0	protein_coding	0	5	0	80	0	0	0	0	38	0	0	0	0	0	0	0	0	0	5	42
CLUG_00179	CLUG_00179	CLUT_00179T0	protein_coding	0	22	5	46	0	0	0	0	29	0	0	0	5	0	0	0	0	0	22	17
CLUG_00180	CLUG_00180	CLUT_00180T0	protein_coding	1	3	0	100	0	0	0	0	60	1	0	0	0	0	0	0	0	0	3	40
CLUG_00181	CLUG_00181	CLUT_00181T0	protein_coding	1	3	2	106	0	0	0	2	66	1	0	0	0	0	0	0	0	0	3	40
CLUG_00182	CLUG_00182	CLUT_00182T0	protein_coding	0	2	0	110	0	0	0	0	75	0	0	0	0	0	0	0	0	0	2	35
CLUG_00183	CLUG_00183	CLUT_00183T0	protein_coding	2	13	2	141	0	0	0	0	61	1	0	0	2	0	0	1	0	0	13	80
CLUG_00184	CLUG_00184	CLUT_00184T0	protein_coding	0	12	0	171	0	0	0	0	80	0	0	0	0	0	0	0	0	0	12	91
CLUG_00185	CLUG_00185	CLUT_00185T0	protein_coding	1	11	5	168	1	0	0	0	90	0	0	0	5	1	0	0	1	0	11	78
